,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Age stages
0,1,0,3,109,2,22.0,1,0,524,7.25,82,3,2
1,2,1,1,191,1,NaN,1,0,597,71.2833,82,1,2
2,3,1,3,354,1,26.0,0,0,670,7.925,56,3,2
3,4,1,1,273,1,35.0,1,0,50,53.1,56,3,2
4,5,0,3,16,2,35.0,0,0,473,8.05,130,3,2
5,6,0,3,555,2,28.0,0,0,276,8.4583,130,2,2
6,7,0,1,516,2,NaN,0,0,86,51.8625,130,3,2
7,8,0,3,625,2,NaN,3,1,396,21.075,146,3,1
8,9,1,3,413,1,27.0,0,2,345,11.1333,146,3,2
9,10,1,2,577,1,14.0,1,0,133,30.0708,146,1,1
10,11,1,3,728,1,4.0,1,1,617,16.7,146,3,1
11,12,1,1,96,1,58.0,0,0,39,26.55,50,3,2
12,13,0,3,730,2,20.0,0,0,536,8.05,112,3,2
13,14,0,3,29,2,39.0,1,5,334,31.275,112,3,2
14,15,0,3,841,1,14.0,0,0,414,7.8542,112,3,1
15,16,1,2,360,1,NaN,0,0,154,16.0,112,3,2
16,17,0,3,683,2,NaN,4,1,481,29.125,112,2,1
17,18,1,2,868,2,28.0,0,0,152,13.0,112,3,2
18,19,0,3,840,1,31.0,1,0,302,18.0,112,3,2
19,20,1,3,513,1,28.0,0,0,185,7.225,112,1,2
20,21,0,2,274,2,35.0,0,0,140,26.0,112,3,2
21,22,1,2,81,2,34.0,0,0,153,13.0,112,3,2
22,23,1,3,524,1,15.0,0,0,279,8.0292,14,2,1
23,24,1,1,766,2,28.0,0,0,43,35.5,14,3,2
24,25,0,3,627,1,8.0,3,1,396,21.075,64,3,1
25,26,1,3,45,1,NaN,1,5,330,31.3875,64,3,2
26,27,0,3,241,2,28.0,0,0,180,7.225,64,1,2
27,28,0,1,261,2,19.0,3,2,96,263.0,64,3,2
28,29,1,3,606,1,28.0,0,0,284,7.8792,42,2,2
29,30,0,3,814,2,28.0,0,0,363,7.8958,42,3,2
30,31,0,1,829,2,40.0,0,0,599,27.7208,42,1,2
31,32,1,1,777,1,28.0,1,0,587,146.5208,42,1,2
32,33,1,3,290,1,28.0,0,0,289,7.75,102,2,2
33,34,0,2,857,2,66.0,0,0,550,10.5,102,3,2
34,35,0,1,536,2,28.0,1,0,601,82.1708,102,1,2
35,36,0,1,373,2,42.0,1,0,44,52.0,102,3,2
